0.000_1L:þ
Offsets:257,262,259,-43,-14,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
8.068_1L:-40.72,-19.88,42.18_24,-101,44_371,-315,118_585,-569,-61
8.099_1L:-42.05,-18.86,43.64_3,-88,48_258,-436,99_440,-674,-77
8.116_1L:-43.12,-19.00,45.76_-50,-51,24_318,-389,50_440,-674,-77
8.132_1L:-44.01,-19.82,47.14_-63,-9,28_334,-334,33_440,-674,-77
8.165_1L:-44.22,-20.74,47.61_-33,27,7_309,-323,37_440,-674,-77
8.182_1L:-43.23,-21.61,47.18_-2,58,-41_237,-304,27_440,-674,-77
8.200_1L:-41.98,-22.45,46.80_-3,53,-52_161,-231,5_440,-674,-77
8.227_1L:-44.56,-24.77,48.26_-27,34,-28_143,-197,1_471,-648,-109
8.244_1L:-48.64,-27.53,50.57_-36,25,-3_271,-234,26_471,-648,-109
8.263_1L:-49.09,-28.65,50.85_-18,32,5_337,-212,8_471,-648,-109
8.291_1L:-49.43,-29.16,50.49_8,34,30_350,-175,-15_471,-648,-109
8.309_1L:-50.05,-29.63,49.90_18,42,54_400,-182,-12_471,-648,-109
8.327_1L:-50.10,-30.39,48.75_28,67,37_547,-207,17_471,-648,-109
8.343_1L:-48.91,-31.18,46.96_49,92,-10_554,-212,21_569,-556,-139
8.374_1L:-46.81,-31.82,44.71_57,86,-41_554,-137,-38_569,-556,-139
8.391_1L:-46.19,-32.27,43.03_51,75,19_554,19,-129_569,-556,-139
8.406_1L:-47.77,-32.85,41.44_44,73,132_554,129,-158_569,-556,-139
8.435_1L:-49.42,-33.73,40.48_16,69,125_554,71,-101_569,-556,-139
8.452_1L:-47.87,-35.22,40.32_-33,71,-73_554,268,-52_569,-556,-139
8.471_1L:-44.15,-35.58,41.50_-31,-19,-222_382,525,-109_679,-431,-115
8.501_1L:-44.62,-32.71,45.05_3,-207,-74_2,368,53_679,-431,-115
8.518_1L:-44.47,-29.63,49.48_-24,-260,-125_-450,23,419_679,-431,-115
8.548_1L:-42.26,-27.85,54.64_-97,-260,-257_-469,-180,570_679,-431,-115
8.561_1L:-39.16,-24.34,58.08_32,-260,-242_-469,58,479_679,-431,-115
8.579_1L:-41.59,-19.66,60.12_120,-260,83_-469,-370,187_679,-431,-115
8.607_1L:-44.88,-17.21,60.17_83,-108,159_-469,-498,-114_43,-748,18
8.624_1L:-39.07,-22.24,55.38_-1,339,-173_-469,16,110_43,-748,18
8.642_1L:-34.89,-25.31,54.77_-73,152,-188_127,525,142_43,-748,18
8.669_1L:-34.52,-26.25,54.96_-16,56,-5_20,166,173_43,-748,18
8.686_1L:-29.40,-26.07,52.07_36,46,67_-124,-29,139_43,-748,18
8.704_1L:-29.53,-24.07,50.97_47,76,78_-214,-162,202_43,-748,18
8.721_1L:-30.17,-22.71,49.63_31,119,66_-315,-225,255_335,-697,85
8.751_1L:-30.36,-24.25,47.35_5,149,66_-386,-236,246_335,-697,85
8.769_1L:-31.20,-25.53,45.07_18,148,106_-349,-209,188_335,-697,85
8.785_1L:-32.43,-26.22,42.22_64,161,149_-243,-234,174_335,-697,85
8.813_1L:-32.96,-27.13,38.76_70,185,124_-208,-280,152_335,-697,85
8.831_1L:-31.83,-28.34,36.58_24,151,11_-161,-306,155_335,-697,85
8.849_1L:-30.36,-29.84,35.36_-14,116,-27_211,25,15_623,-543,-35
8.878_1L:-29.20,-34.77,34.11_-41,80,5_527,69,-83_623,-543,-35
8.895_1L:-30.01,-35.99,33.58_-33,58,65_520,180,-172_623,-543,-35
8.913_1L:-32.29,-36.65,33.19_-10,40,144_554,160,-35_623,-543,-35
8.929_1L:-33.65,-36.84,31.99_31,54,115_554,15,43_623,-543,-35
8.958_1L:-32.52,-37.09,31.09_22,48,-24_499,-83,61_623,-543,-35
8.976_1L:-30.93,-37.02,32.26_-9,-35,-110_441,-42,-23_641,-476,-94
8.991_1L:-32.33,-35.76,35.76_-10,-143,-24_554,96,-65_641,-476,-94
9.022_1L:-35.87,-33.24,38.69_47,-171,104_554,68,33_641,-476,-94
9.040_1L:-37.92,-31.12,40.15_61,-119,73_554,-250,101_641,-476,-94
9.057_1L:-36.97,-30.80,41.15_-4,-43,-73_172,-486,93_641,-476,-94
9.073_1L:-34.80,-31.90,42.60_-77,-18,-158_241,-252,13_641,-476,-94
9.103_1L:-35.29,-34.26,44.77_-109,-1,-76_269,-121,-25_514,-613,-100
9.135_1L:-39.47,-38.87,47.80_-92,7,54_267,-142,-39_514,-613,-100
9.147_1L:-44.17,-42.15,50.17_-52,19,101_245,-178,-42_514,-613,-100
9.165_1L:-47.85,-44.43,52.01_-22,36,60_228,-233,-26_514,-613,-100
9.182_1L:-49.67,-45.59,53.40_-10,32,-9_207,-244,-14_514,-613,-100
9.210_1L:-51.25,-46.08,55.05_-2,15,-36_230,-176,-31_514,-613,-100
9.228_1L:-53.94,-47.24,57.09_14,5,-11_264,-147,-23_529,-568,-202
9.247_1L:-55.66,-48.67,58.20_28,14,4_304,-189,4_529,-568,-202
9.262_1L:-55.12,-49.28,57.72_24,34,-11_347,-187,7_529,-568,-202
9.291_1L:-53.94,-49.82,57.03_16,40,-27_440,-151,21_529,-568,-202
9.309_1L:-52.20,-50.47,55.89_23,52,-36_518,-120,32_529,-568,-202
9.326_1L:-49.90,-51.12,54.29_34,65,-48_516,-102,11_529,-568,-202
