0.000_1L:5.36,5.29,50.ñ
Offsets:257,263,259,0,-2,-60
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
9.753_1L:-4.32,-32.92,79.12_6,-1,-6_13,-19,238_198,-253,752
9.782_1L:-4.18,-30.31,80.23_4,-5,-5_11,17,233_198,-253,752
9.799_1L:-3.44,-28.23,80.94_1,-6,4_28,-5,248_198,-253,752
9.816_1L:-3.20,-26.21,81.89_2,-3,4_48,-29,257_198,-253,752
9.832_1L:-3.43,-24.69,83.12_7,-1,-2_34,-22,245_199,-255,752
9.864_1L:-3.57,-23.00,83.95_8,-3,0_26,1,248_199,-255,752
9.880_1L:-3.21,-21.26,84.61_6,-4,5_22,-6,242_199,-255,752
9.896_1L:-3.09,-19.78,85.31_6,-3,5_25,-24,245_199,-255,752
9.912_1L:-3.33,-18.33,86.20_6,-3,0_24,-24,245_199,-255,752
9.943_1L:-3.51,-17.07,87.04_6,-4,-2_21,-18,248_199,-255,752
9.960_1L:-3.52,-15.78,87.87_7,-4,-2_20,-16,242_194,-264,750
9.991_1L:-3.51,-14.74,88.09_6,-4,-2_31,-5,248_194,-264,750
10.007_1L:-3.33,-13.92,88.28_7,-6,3_37,3,253_194,-264,750
10.023_1L:-3.24,-13.25,88.50_12,-10,15_33,-4,266_194,-264,750
10.040_1L:-4.12,-12.38,88.92_19,-18,54_32,5,270_194,-264,750
10.056_1L:-5.97,-11.83,89.17_8,-13,124_10,-67,344_194,-264,750
10.087_1L:-9.96,-12.20,89.55_-28,-8,198_-33,-122,392_190,-277,746
10.104_1L:-15.53,-13.85,89.52_-73,2,274_-18,-205,369_190,-277,746
10.120_1L:-21.48,-15.89,89.25_-90,28,311_40,-313,332_190,-277,746
10.152_1L:-26.47,-18.15,88.60_-93,63,281_27,-468,319_190,-277,746
10.170_1L:-30.52,-21.30,87.13_-104,123,236_30,-505,303_190,-277,746
10.200_1L:-33.76,-24.99,85.52_-123,159,212_5,-466,280_190,-277,746
10.214_1L:-37.45,-29.15,84.04_-131,166,229_55,-316,202_341,-737,362
10.245_1L:-41.97,-33.43,82.67_-116,170,267_95,-294,144_341,-737,362
10.258_1L:-47.22,-36.66,81.73_-86,169,276_103,-274,103_341,-737,362
10.276_1L:-52.79,-39.20,81.36_-68,169,268_60,-222,101_341,-737,362
10.292_1L:-58.84,-40.10,81.06_-46,159,278_71,-175,86_341,-737,362
10.321_1L:-63.59,-41.94,80.06_-24,152,290_31,-157,71_341,-737,362
10.337_1L:-67.45,-44.02,78.52_0,155,260_52,-170,66_636,-450,-284
10.354_1L:-69.67,-45.89,75.42_37,165,204_39,-151,65_636,-450,-284
10.385_1L:-70.69,-48.03,71.96_53,170,177_15,-60,43_636,-450,-284
10.401_1L:-70.69,-51.04,68.55_53,183,134_55,28,74_636,-450,-284
10.417_1L:-69.37,-53.75,64.66_64,165,85_72,177,48_636,-450,-284
10.434_1L:-65.37,-58.00,58.45_65,145,107_76,259,15_636,-450,-284
10.465_1L:-58.96,-64.50,49.80_33,131,130_64,267,41_679,168,-339
10.482_1L:-47.52,-69.89,37.07_8,98,74_178,351,65_679,168,-339
10.498_1L:-44.77,-70.56,33.35_26,60,31_283,363,84_679,168,-339
10.529_1L:-42.76,-70.65,30.58_34,31,27_236,322,94_679,168,-339
10.546_1L:-42.73,-70.88,30.32_-2,3,7_209,214,38_679,168,-339
10.563_1L:-34.82,-73.63,22.86_-23,-4,-4_225,145,-43_679,168,-339
10.578_1L:-26.46,-77.03,14.78_-3,4,-4_277,96,-72_604,428,-220
10.609_1L:-19.46,-78.91,7.86_32,11,-14_253,136,-45_604,428,-220
10.626_1L:-6.47,-80.11,-4.73_43,4,-23_220,154,-26_604,428,-220
10.642_1L:12.85,-80.70,-23.59_31,-9,-16_233,190,4_604,428,-220
