0.000_1L:12.50,18.15,µ
Offsets:257,263,259,-31,0,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
9.267_1L:1.52,-82.27,9.70_117,-103,-240_-71,322,-75_793,-92,-63
9.283_1L:3.64,-79.14,12.61_202,-139,-257_-279,145,85_793,-92,-63
9.314_1L:-0.60,-70.37,22.39_398,-217,-257_-481,164,321_793,-92,-63
9.330_1L:-3.65,-59.13,31.02_612,-261,-257_-481,118,534_793,-92,-63
9.347_1L:-4.39,-52.24,37.55_371,-256,-257_-481,329,570_352,23,639
9.378_1L:-14.47,-53.27,43.92_-64,-166,254_-481,-128,544_352,23,639
9.394_1L:-10.93,-55.79,38.35_-82,199,72_80,-512,193_352,23,639
9.411_1L:-5.91,-55.56,36.94_32,46,-194_-216,511,18_352,23,639
9.427_1L:-7.77,-55.10,37.93_30,-28,71_141,511,242_352,23,639
9.458_1L:-10.07,-55.35,39.34_-10,-33,75_69,247,317_352,23,639
9.474_1L:-12.04,-55.88,40.18_-23,-14,85_7,104,305_406,-71,590
9.491_1L:-11.75,-54.35,38.50_-34,-6,115_-9,52,313_406,-71,590
9.522_1L:-13.50,-52.76,37.93_-43,-15,173_-31,53,317_406,-71,590
9.538_1L:-18.56,-51.41,38.24_-53,-39,303_-118,82,280_406,-71,590
9.555_1L:-25.08,-50.08,37.81_-71,-29,449_-172,-82,270_406,-71,590
9.574_1L:-31.33,-50.20,37.23_-102,70,377_-217,-447,339_406,-71,590
9.603_1L:-33.33,-53.47,35.80_-110,139,190_-184,-395,343_577,-469,251
9.635_1L:-35.83,-57.07,33.08_-74,151,237_-143,-98,235_577,-469,251
9.648_1L:-39.25,-55.66,30.55_-79,125,351_-129,-49,-4_577,-469,251
9.664_1L:-47.98,-57.81,32.68_-106,45,389_117,-51,-50_577,-469,251
9.680_1L:-55.82,-59.49,35.07_-76,27,339_317,-127,-9_577,-469,251
9.711_1L:-61.90,-61.00,36.91_-31,33,246_350,-35,-88_577,-469,251
9.729_1L:-66.25,-62.63,37.63_-23,58,222_393,50,-138_700,-340,-243
9.747_1L:-69.10,-64.68,36.80_-9,91,184_503,-34,-70_700,-340,-243
9.775_1L:-68.46,-67.58,35.52_-19,154,42_542,-56,-39_700,-340,-243
9.791_1L:-66.75,-70.23,34.47_-22,131,-26_542,118,-88_700,-340,-243
9.810_1L:-66.09,-71.74,33.71_-10,77,14_542,229,-47_700,-340,-243
9.827_1L:-67.06,-72.66,34.33_-18,36,30_542,161,-11_700,-340,-243
9.856_1L:-70.22,-73.22,37.48_-48,6,18_492,68,-14_704,-94,-335
9.875_1L:-76.39,-73.52,42.82_-72,-13,59_476,13,-107_704,-94,-335
9.891_1L:-81.46,-74.12,46.21_-49,16,102_542,-88,-62_704,-94,-335
9.918_1L:-82.52,-75.30,45.70_5,56,82_471,-167,-63_704,-94,-335
9.935_1L:-80.11,-76.30,42.41_42,55,44_305,-150,-89_704,-94,-335
9.952_1L:-79.03,-77.26,41.03_35,62,11_225,-90,-90_704,-94,-335
9.968_1L:-86.75,-78.40,48.76_23,90,-15_234,-54,-68_684,71,-357
10.001_1L:-93.59,-80.82,55.89_32,117,-27_251,-12,-69_684,71,-357
10.018_1L:-100.77,-83.36,63.27_43,107,-22_210,17,-76_684,71,-357
10.035_1L:-114.93,-85.37,77.51_41,74,-13_167,43,-76_684,71,-357
10.063_1L:-135.84,-86.66,98.49_28,61,-9_167,86,-61_684,71,-357
10.079_1L:173.32,-87.00,149.38_17,65,-8_214,80,-46_684,71,-357
10.096_1L:138.18,-85.17,-175.65_11,64,4_213,112,-47_661,249,-312
10.128_1L:122.82,-81.82,-160.91_5,44,23_201,85,-40_661,249,-312
10.145_1L:120.65,-80.23,-159.39_-3,16,25_244,97,-30_661,249,-312
10.162_1L:118.08,-78.64,-157.46_-7,11,19_258,101,-21_661,249,-312
10.177_1L:115.91,-77.30,-155.86_-11,17,14_257,84,-28_661,249,-312
